ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 63, 1.963521, 1.117727
Czasteczka nr. 64, 2.515535, 0.988583
Czasteczka nr. 65, 2.167286, 1.195264
Czasteczka nr. 66, 1.116434, 1.334195
Czasteczka nr. 67, 1.093518, 1.160303
Czasteczka nr. 68, 1.923430, 1.930365
Czasteczka nr. 69, 2.008200, 1.245275
Czasteczka nr. 70, 1.818946, 0.712256
Czasteczka nr. 71, 1.731994, 0.925245
Czasteczka nr. 72, 1.551575, 1.225346
Czasteczka nr. 73, 2.485850, 1.640215
Czasteczka nr. 74, 0.842000, 1.637950
Czasteczka nr. 75, 2.471719, 1.774522
Czasteczka nr. 76, 0.948050, 2.047630
Czasteczka nr. 77, 2.121726, 1.324930
Czasteczka nr. 78, 1.429807, 1.332256
Czasteczka nr. 79, 2.345855, 0.659957
Czasteczka nr. 80, 1.767570, 0.370392
Czasteczka nr. 81, 2.413614, 0.980456
Czasteczka nr. 82, 1.530870, 0.828643
Czasteczka nr. 83, 1.472636, 1.465118
Czasteczka nr. 84, 1.904589, 0.904382
Czasteczka nr. 85, 0.948811, 0.596232
Czasteczka nr. 86, 2.199853, 1.141428
Czasteczka nr. 87, 2.483368, 1.590949
Czasteczka nr. 88, 2.451029, 1.273680
Czasteczka nr. 89, 1.378155, 1.263150
Czasteczka nr. 90, 0.666550, 0.672827
Czasteczka nr. 91, 1.613447, 1.561604
Czasteczka nr. 92, 2.020207, 1.909512
Czasteczka nr. 93, 1.911558, 1.349320
Czasteczka nr. 94, 2.377646, 1.502429
Czasteczka nr. 95, 2.013497, 1.276302
Czasteczka nr. 96, 1.564226, 1.279072
Czasteczka nr. 97, 1.802640, 1.451954
Czasteczka nr. 98, 1.978276, 2.007995
Czasteczka nr. 99, 2.093068, 2.185638
Czasteczka nr. 100, 1.674409, 0.841807
Czasteczka nr. 101, 1.152001, 0.513259
Czasteczka nr. 102, 0.986978, 1.164065
Czasteczka nr. 103, 3.102240, 0.994874
Czasteczka nr. 104, 2.483316, 1.631963
Czasteczka nr. 105, 1.803913, 0.350894
Czasteczka nr. 106, 3.415454, 1.190654
Czasteczka nr. 107, 2.329711, 1.237443
Czasteczka nr. 108, 1.612069, 0.103470
Czasteczka nr. 109, 2.054155, 1.605426
Czasteczka nr. 110, 2.109191, 1.251148
Czasteczka nr. 111, 2.098763, 0.672846
Czasteczka nr. 112, 1.152565, 1.474943
Czasteczka nr. 113, 1.266983, 0.800386
